country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-01,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-02,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-03,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-04,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-05,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-06,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-07,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-08,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-09,15-24yr,4,955625,,TESSy COVID-19
Austria,AT,2020-10,15-24yr,14,955625,1.88358404185742,TESSy COVID-19
Austria,AT,2020-11,15-24yr,103,955625,12.2432962720733,TESSy COVID-19
Austria,AT,2020-12,15-24yr,285,955625,40.6017004578156,TESSy COVID-19
Austria,AT,2020-13,15-24yr,435,955625,75.3433616742969,TESSy COVID-19
Austria,AT,2020-14,15-24yr,308,955625,77.7501635055592,TESSy COVID-19
Austria,AT,2020-15,15-24yr,178,955625,50.8567691301504,TESSy COVID-19
Austria,AT,2020-16,15-24yr,54,955625,24.2773054283846,TESSy COVID-19
Austria,AT,2020-17,15-24yr,38,955625,9.62720732504905,TESSy COVID-19
Austria,AT,2020-18,15-24yr,25,955625,6.59254414650098,TESSy COVID-19
Austria,AT,2020-19,15-24yr,36,955625,6.38325703073905,TESSy COVID-19
Austria,AT,2020-20,15-24yr,40,955625,7.95291039895357,TESSy COVID-19
Austria,AT,2020-21,15-24yr,33,955625,7.63897972531066,TESSy COVID-19
Austria,AT,2020-22,15-24yr,23,955625,5.86003924133421,TESSy COVID-19
Austria,AT,2020-23,15-24yr,31,955625,5.65075212557227,TESSy COVID-19
Austria,AT,2020-24,15-24yr,26,955625,5.96468279921517,TESSy COVID-19
Austria,AT,2020-25,15-24yr,50,955625,7.95291039895357,TESSy COVID-19
Austria,AT,2020-26,15-24yr,55,955625,10.9875735775016,TESSy COVID-19
Austria,AT,2020-27,15-24yr,96,955625,15.8011772400262,TESSy COVID-19
Austria,AT,2020-28,15-24yr,112,955625,21.7658600392413,TESSy COVID-19
Austria,AT,2020-29,15-24yr,128,955625,25.1144538914323,TESSy COVID-19
Austria,AT,2020-30,15-24yr,203,955625,34.6370176586004,TESSy COVID-19
Austria,AT,2020-31,15-24yr,203,955625,42.485284499673,TESSy COVID-19
Austria,AT,2020-32,15-24yr,198,955625,41.9620667102681,TESSy COVID-19
Austria,AT,2020-33,15-24yr,577,955625,81.0987573577502,TESSy COVID-19
Austria,AT,2020-34,15-24yr,662,955625,129.653368214519,TESSy COVID-19
Austria,AT,2020-35,15-24yr,517,955625,123.374754741661,TESSy COVID-19
Austria,AT,2020-36,15-24yr,551,955625,111.759319816874,TESSy COVID-19
Austria,AT,2020-37,15-24yr,963,955625,158.430346631786,TESSy COVID-19
Austria,AT,2020-38,15-24yr,1303,955625,237.122302158273,TESSy COVID-19
Austria,AT,2020-39,15-24yr,919,955625,232.517985611511,TESSy COVID-19
Austria,AT,2020-40,15-24yr,1078,955625,208.973185088293,TESSy COVID-19
Austria,AT,2020-41,15-24yr,1320,955625,250.935251798561,TESSy COVID-19
Austria,AT,2020-42,15-24yr,1649,955625,310.686723348594,TESSy COVID-19
Austria,AT,2020-43,15-24yr,2961,955625,482.406801831262,TESSy COVID-19
Austria,AT,2020-44,15-24yr,4927,955625,825.428384565075,TESSy COVID-19
Austria,AT,2020-45,15-24yr,6648,955625,1211.2491824722,TESSy COVID-19
Austria,AT,2020-46,15-24yr,6315,955625,1356.49444081099,TESSy COVID-19
Austria,AT,2020-47,15-24yr,4786,955625,1161.64813603662,TESSy COVID-19
Austria,AT,2020-48,15-24yr,3799,955625,898.36494440811,TESSy COVID-19
Austria,AT,2020-49,15-24yr,2610,955625,670.660562459124,TESSy COVID-19
Austria,AT,2020-50,15-24yr,2142,955625,497.26618705036,TESSy COVID-19
Austria,AT,2020-51,15-24yr,1679,955625,399.843034663179,TESSy COVID-19
Austria,AT,2020-52,15-24yr,1501,955625,332.766514061478,TESSy COVID-19
Austria,AT,2020-53,15-24yr,1851,955625,350.765206017005,TESSy COVID-19
Austria,AT,2021-01,15-24yr,1920,955625,394.61085676913,TESSy COVID-19
Austria,AT,2021-02,15-24yr,1474,955625,355.160235448005,TESSy COVID-19
Austria,AT,2021-03,15-24yr,1388,955625,299.48986265533,TESSy COVID-19
Austria,AT,2021-04,15-24yr,1185,955625,269.247874427731,TESSy COVID-19
Austria,AT,2021-05,15-24yr,1174,955625,246.854153041203,TESSy COVID-19
Austria,AT,2021-06,15-24yr,1330,955625,262.027468933944,TESSy COVID-19
Austria,AT,2021-07,15-24yr,1613,955625,307.965990843689,TESSy COVID-19
Austria,AT,2021-08,15-24yr,2004,955625,378.495748855461,TESSy COVID-19
Austria,AT,2021-09,15-24yr,2388,955625,459.594506213211,TESSy COVID-19
Austria,AT,2021-10,15-24yr,2807,955625,543.623283191629,TESSy COVID-19
Austria,AT,2021-11,15-24yr,3216,955625,630.26814911707,TESSy COVID-19
Austria,AT,2021-12,15-24yr,3414,955625,693.786788750818,TESSy COVID-19
Austria,AT,2021-13,15-24yr,3163,955625,688.240680183126,TESSy COVID-19
Austria,AT,2021-14,15-24yr,2716,955625,615.199476782211,TESSy COVID-19
Austria,AT,2021-15,15-24yr,2617,955625,558.064094179202,TESSy COVID-19
Austria,AT,2021-16,15-24yr,2303,955625,514.846304774362,TESSy COVID-19
Austria,AT,2021-17,15-24yr,1959,955625,445.990843688685,TESSy COVID-19
Austria,AT,2021-18,15-24yr,1387,955625,350.137344669719,TESSy COVID-19
Austria,AT,2021-19,15-24yr,906,955625,239.94767822106,TESSy COVID-19
Austria,AT,2021-20,15-24yr,728,955625,170.987573577502,TESSy COVID-19
Austria,AT,2021-21,15-24yr,618,955625,140.850228907783,TESSy COVID-19
Austria,AT,2021-22,15-24yr,562,955625,123.479398299542,TESSy COVID-19
Austria,AT,2021-23,15-24yr,388,955625,99.4113799869196,TESSy COVID-19
Austria,AT,2021-24,15-24yr,239,955625,65.6115107913669,TESSy COVID-19
Austria,AT,2021-25,15-24yr,167,955625,42.485284499673,TESSy COVID-19
Austria,AT,2021-26,15-24yr,201,955625,38.5088293001962,TESSy COVID-19
Austria,AT,2021-27,15-24yr,449,955625,68.0183126226292,TESSy COVID-19
Austria,AT,2021-28,15-24yr,954,955625,146.814911706998,TESSy COVID-19
Austria,AT,2021-29,15-24yr,945,955625,198.718116415958,TESSy COVID-19
