country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-01,<15yr,,1283060,,TESSy COVID-19
Austria,,,AT,2020-02,<15yr,,1283060,,TESSy COVID-19
Austria,AT,2020-03,<15yr,,1283060,,TESSy COVID-19
Austria,AT,2020-04,<15yr,,1283060,,TESSy COVID-19
Austria,AT,2020-05,<15yr,,1283060,,TESSy COVID-19
Austria,AT,2020-06,<15yr,,1283060,,TESSy COVID-19
Austria,AT,2020-07,<15yr,,1283060,,TESSy COVID-19
Austria,AT,2020-08,<15yr,,1283060,,TESSy COVID-19
Austria,AT,2020-09,<15yr,0,1283060,,TESSy COVID-19
Austria,AT,2020-10,<15yr,7,1283060,0.545570744937883,TESSy COVID-19
Austria,AT,2020-11,<15yr,10,1283060,1.32495752342057,TESSy COVID-19
Austria,AT,2020-12,<15yr,58,1283060,5.29983009368229,TESSy COVID-19
Austria,AT,2020-13,<15yr,156,1283060,16.6788770595296,TESSy COVID-19
Austria,AT,2020-14,<15yr,104,1283060,20.2640562405499,TESSy COVID-19
Austria,AT,2020-15,<15yr,54,1283060,12.3143111000265,TESSy COVID-19
Austria,AT,2020-16,<15yr,14,1283060,5.29983009368229,TESSy COVID-19
Austria,AT,2020-17,<15yr,21,1283060,2.72785372468941,TESSy COVID-19
Austria,AT,2020-18,<15yr,20,1283060,3.19548579177903,TESSy COVID-19
Austria,AT,2020-19,<15yr,6,1283060,2.02640562405499,TESSy COVID-19
Austria,AT,2020-20,<15yr,26,1283060,2.49403769114461,TESSy COVID-19
Austria,AT,2020-21,<15yr,25,1283060,3.97487257026172,TESSy COVID-19
Austria,AT,2020-22,<15yr,28,1283060,4.13074992595826,TESSy COVID-19
Austria,AT,2020-23,<15yr,33,1283060,4.75425934874441,TESSy COVID-19
Austria,AT,2020-24,<15yr,22,1283060,4.28662728165479,TESSy COVID-19
Austria,AT,2020-25,<15yr,32,1283060,4.20868860380653,TESSy COVID-19
Austria,AT,2020-26,<15yr,42,1283060,5.7674621607719,TESSy COVID-19
Austria,AT,2020-27,<15yr,109,1283060,11.7687403550886,TESSy COVID-19
Austria,AT,2020-28,<15yr,59,1283060,13.0936978785092,TESSy COVID-19
Austria,AT,2020-29,<15yr,95,1283060,12.0025563886334,TESSy COVID-19
Austria,AT,2020-30,<15yr,82,1283060,13.7951459791436,TESSy COVID-19
Austria,AT,2020-31,<15yr,75,1283060,12.2363724221782,TESSy COVID-19
Austria,AT,2020-32,<15yr,53,1283060,9.97615076457843,TESSy COVID-19
Austria,AT,2020-33,<15yr,77,1283060,10.132028120275,TESSy COVID-19
Austria,AT,2020-34,<15yr,130,1283060,16.1333063145917,TESSy COVID-19
Austria,AT,2020-35,<15yr,177,1283060,23.9271740994186,TESSy COVID-19
Austria,AT,2020-36,<15yr,228,1283060,31.5651645285489,TESSy COVID-19
Austria,AT,2020-37,<15yr,387,1283060,47.9322868766854,TESSy COVID-19
Austria,AT,2020-38,<15yr,512,1283060,70.0668713855938,TESSy COVID-19
Austria,AT,2020-39,<15yr,470,1283060,76.5357816470001,TESSy COVID-19
Austria,AT,2020-40,<15yr,615,1283060,84.5634654653719,TESSy COVID-19
Austria,AT,2020-41,<15yr,841,1283060,113.47871494708,TESSy COVID-19
Austria,AT,2020-42,<15yr,985,1283060,142.316025750939,TESSy COVID-19
Austria,AT,2020-43,<15yr,1367,1283060,183.311770299129,TESSy COVID-19
Austria,AT,2020-44,<15yr,1882,1283060,253.222764329026,TESSy COVID-19
Austria,AT,2020-45,<15yr,2038,1283060,305.519617165214,TESSy COVID-19
Austria,AT,2020-46,<15yr,2918,1283060,386.264087416021,TESSy COVID-19
Austria,AT,2020-47,<15yr,2638,1283060,433.027294124983,TESSy COVID-19
Austria,AT,2020-48,<15yr,1876,1283060,351.815191807086,TESSy COVID-19
Austria,AT,2020-49,<15yr,1225,1283060,241.687840007482,TESSy COVID-19
Austria,AT,2020-50,<15yr,1004,1283060,173.725312923792,TESSy COVID-19
Austria,AT,2020-51,<15yr,958,1283060,152.915685938304,TESSy COVID-19
Austria,AT,2020-52,<15yr,874,1283060,142.783657818029,TESSy COVID-19
Austria,AT,2020-53,<15yr,805,1283060,130.859040107244,TESSy COVID-19
Austria,AT,2021-01,<15yr,749,1283060,121.11670537621,TESSy COVID-19
Austria,AT,2021-02,<15yr,518,1283060,98.7483048337568,TESSy COVID-19
Austria,AT,2021-03,<15yr,675,1283060,92.9808426729849,TESSy COVID-19
Austria,AT,2021-04,<15yr,750,1283060,111.062615933783,TESSy COVID-19
Austria,AT,2021-05,<15yr,784,1283060,119.557931819245,TESSy COVID-19
Austria,AT,2021-06,<15yr,969,1283060,136.626502268016,TESSy COVID-19
Austria,AT,2021-07,<15yr,1559,1283060,197.028977600424,TESSy COVID-19
Austria,AT,2021-08,<15yr,2090,1283060,284.398235468334,TESSy COVID-19
Austria,AT,2021-09,<15yr,2478,1283060,356.023880410893,TESSy COVID-19
Austria,AT,2021-10,<15yr,2712,1283060,404.501738032516,TESSy COVID-19
Austria,AT,2021-11,<15yr,2992,1283060,444.562218446526,TESSy COVID-19
Austria,AT,2021-12,<15yr,3123,1283060,476.595015042165,TESSy COVID-19
Austria,AT,2021-13,<15yr,2440,1283060,433.57286486992,TESSy COVID-19
Austria,AT,2021-14,<15yr,2050,1283060,349.944663538728,TESSy COVID-19
Austria,AT,2021-15,<15yr,2560,1283060,359.29730488052,TESSy COVID-19
Austria,AT,2021-16,<15yr,2359,1283060,383.380356335635,TESSy COVID-19
Austria,AT,2021-17,<15yr,2171,1283060,353.062210652659,TESSy COVID-19
Austria,AT,2021-18,<15yr,1599,1283060,293.828815487974,TESSy COVID-19
Austria,AT,2021-19,<15yr,1018,1283060,203.96551992892,TESSy COVID-19
Austria,AT,2021-20,<15yr,765,1283060,138.964662603464,TESSy COVID-19
Austria,AT,2021-21,<15yr,550,1283060,102.489361370474,TESSy COVID-19
Austria,AT,2021-22,<15yr,394,1283060,73.5741118887659,TESSy COVID-19
Austria,AT,2021-23,<15yr,281,1283060,52.6086075475816,TESSy COVID-19
Austria,AT,2021-24,<15yr,171,1283060,35.2282823874176,TESSy COVID-19
Austria,AT,2021-25,<15yr,146,1283060,24.7065608779013,TESSy COVID-19
Austria,AT,2021-26,<15yr,93,1283060,18.6273440057363,TESSy COVID-19
Austria,AT,2021-27,<15yr,106,1283060,15.5097968918055,TESSy COVID-19
Austria,AT,2021-28,<15yr,151,1283060,20.0302402070051,TESSy COVID-19
Austria,AT,2021-29,<15yr,225,1283060,29.3049428709491,TESSy COVID-19
Austria,AT,2021-30,<15yr,263,1283060,38.0340747899553,TESSy COVID-19
Austria,AT,2021-31,<15yr,384,1283060,50.42632456783,TESSy COVID-19
Austria,AT,2021-32,<15yr,806,1283060,92.7470266394401,TESSy COVID-19
Austria,AT,2021-33,<15yr,1192,1283060,155.721478340841,TESSy COVID-19
Austria,AT,2021-34,<15yr,1574,1283060,215.578382928312,TESSy COVID-19
Austria,AT,2021-35,<15yr,2041,1283060,281.748320421492,TESSy COVID-19
Austria,AT,2021-36,<15yr,2830,1283060,379.639299798918,TESSy COVID-19
Austria,AT,2021-37,<15yr,3334,1283060,480.41401025673,TESSy COVID-19
Austria,AT,2021-38,<15yr,2786,1283060,476.984708431406,TESSy COVID-19
Austria,AT,2021-39,<15yr,2978,1283060,449.238539117422,TESSy COVID-19
Austria,AT,2021-40,<15yr,2682,1283060,441.132916621202,TESSy COVID-19
Austria,AT,2021-41,<15yr,2983,1283060,441.522610010444,TESSy COVID-19
Austria,AT,2021-42,<15yr,4792,1283060,605.973220270291,TESSy COVID-19
Austria,AT,2020-01,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-02,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-03,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-04,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-05,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-06,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-07,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-08,15-24yr,,955625,,TESSy COVID-19
Austria,AT,2020-09,15-24yr,4,955625,,TESSy COVID-19
Austria,AT,2020-10,15-24yr,14,955625,1.88358404185742,TESSy COVID-19
Austria,AT,2020-11,15-24yr,103,955625,12.2432962720733,TESSy COVID-19
Austria,AT,2020-12,15-24yr,285,955625,40.6017004578156,TESSy COVID-19
Austria,AT,2020-13,15-24yr,435,955625,75.3433616742969,TESSy COVID-19
Austria,AT,2020-14,15-24yr,308,955625,77.7501635055592,TESSy COVID-19
Austria,AT,2020-15,15-24yr,178,955625,50.8567691301504,TESSy COVID-19
Austria,AT,2020-16,15-24yr,54,955625,24.2773054283846,TESSy COVID-19
Austria,AT,2020-17,15-24yr,38,955625,9.62720732504905,TESSy COVID-19
Austria,AT,2020-18,15-24yr,25,955625,6.59254414650098,TESSy COVID-19
Austria,AT,2020-19,15-24yr,36,955625,6.38325703073905,TESSy COVID-19
Austria,AT,2020-20,15-24yr,40,955625,7.95291039895357,TESSy COVID-19
Austria,AT,2020-21,15-24yr,33,955625,7.63897972531066,TESSy COVID-19
Austria,AT,2020-22,15-24yr,23,955625,5.86003924133421,TESSy COVID-19
Austria,AT,2020-23,15-24yr,31,955625,5.65075212557227,TESSy COVID-19
Austria,AT,2020-24,15-24yr,26,955625,5.96468279921517,TESSy COVID-19
Austria,AT,2020-25,15-24yr,50,955625,7.95291039895357,TESSy COVID-19
Austria,AT,2020-26,15-24yr,55,955625,10.9875735775016,TESSy COVID-19
Austria,AT,2020-27,15-24yr,96,955625,15.8011772400262,TESSy COVID-19
Austria,AT,2020-28,15-24yr,112,955625,21.7658600392413,TESSy COVID-19
Austria,AT,2020-29,15-24yr,128,955625,25.1144538914323,TESSy COVID-19
Austria,AT,2020-30,15-24yr,203,955625,34.6370176586004,TESSy COVID-19
Austria,AT,2020-31,15-24yr,203,955625,42.485284499673,TESSy COVID-19
Austria,AT,2020-32,15-24yr,198,955625,41.9620667102681,TESSy COVID-19
Austria,AT,2020-33,15-24yr,577,955625,81.0987573577502,TESSy COVID-19
Austria,AT,2020-34,15-24yr,662,955625,129.653368214519,TESSy COVID-19
Austria,AT,2020-35,15-24yr,517,955625,123.374754741661,TESSy COVID-19
Austria,AT,2020-36,15-24yr,551,955625,111.759319816874,TESSy COVID-19
Austria,AT,2020-37,15-24yr,963,955625,158.430346631786,TESSy COVID-19
Austria,AT,2020-38,15-24yr,1303,955625,237.122302158273,TESSy COVID-19
Austria,AT,2020-39,15-24yr,919,955625,232.517985611511,TESSy COVID-19
Austria,AT,2020-40,15-24yr,1078,955625,208.973185088293,TESSy COVID-19
Austria,AT,2020-41,15-24yr,1320,955625,250.935251798561,TESSy COVID-19
Austria,AT,2020-42,15-24yr,1649,955625,310.686723348594,TESSy COVID-19
Austria,AT,2020-43,15-24yr,2961,955625,482.406801831262,TESSy COVID-19
Austria,AT,2020-44,15-24yr,4927,955625,825.428384565075,TESSy COVID-19
Austria,AT,2020-45,15-24yr,6648,955625,1211.2491824722,TESSy COVID-19
Austria,AT,2020-46,15-24yr,6315,955625,1356.49444081099,TESSy COVID-19
Austria,AT,2020-47,15-24yr,4786,955625,1161.64813603662,TESSy COVID-19
Austria,AT,2020-48,15-24yr,3799,955625,898.36494440811,TESSy COVID-19
Austria,AT,2020-49,15-24yr,2610,955625,670.660562459124,TESSy COVID-19
Austria,AT,2020-50,15-24yr,2142,955625,497.26618705036,TESSy COVID-19
Austria,AT,2020-51,15-24yr,1679,955625,399.843034663179,TESSy COVID-19
Austria,AT,2020-52,15-24yr,1501,955625,332.766514061478,TESSy COVID-19
Austria,AT,2020-53,15-24yr,1851,955625,350.765206017005,TESSy COVID-19
Austria,AT,2021-01,15-24yr,1920,955625,394.61085676913,TESSy COVID-19
Austria,AT,2021-02,15-24yr,1474,955625,355.160235448005,TESSy COVID-19
Austria,AT,2021-03,15-24yr,1388,955625,299.48986265533,TESSy COVID-19
Austria,AT,2021-04,15-24yr,1185,955625,269.247874427731,TESSy COVID-19
Austria,AT,2021-05,15-24yr,1174,955625,246.854153041203,TESSy COVID-19
Austria,AT,2021-06,15-24yr,1330,955625,262.027468933944,TESSy COVID-19
Austria,AT,2021-07,15-24yr,1613,955625,307.965990843689,TESSy COVID-19
Austria,AT,2021-08,15-24yr,2004,955625,378.495748855461,TESSy COVID-19
Austria,AT,2021-09,15-24yr,2388,955625,459.594506213211,TESSy COVID-19
Austria,AT,2021-10,15-24yr,2807,955625,543.623283191629,TESSy COVID-19
Austria,AT,2021-11,15-24yr,3216,955625,630.26814911707,TESSy COVID-19
Austria,AT,2021-12,15-24yr,3414,955625,693.786788750818,TESSy COVID-19
Austria,AT,2021-13,15-24yr,3163,955625,688.240680183126,TESSy COVID-19
Austria,AT,2021-14,15-24yr,2716,955625,615.199476782211,TESSy COVID-19
Austria,AT,2021-15,15-24yr,2617,955625,558.064094179202,TESSy COVID-19
Austria,AT,2021-16,15-24yr,2303,955625,514.846304774362,TESSy COVID-19
Austria,AT,2021-17,15-24yr,1959,955625,445.990843688685,TESSy COVID-19
Austria,AT,2021-18,15-24yr,1387,955625,350.137344669719,TESSy COVID-19
Austria,AT,2021-19,15-24yr,906,955625,239.94767822106,TESSy COVID-19
Austria,AT,2021-20,15-24yr,728,955625,170.987573577502,TESSy COVID-19
Austria,AT,2021-21,15-24yr,618,955625,140.850228907783,TESSy COVID-19
Austria,AT,2021-22,15-24yr,562,955625,123.479398299542,TESSy COVID-19
Austria,AT,2021-23,15-24yr,388,955625,99.4113799869196,TESSy COVID-19
Austria,AT,2021-24,15-24yr,239,955625,65.6115107913669,TESSy COVID-19
Austria,AT,2021-25,15-24yr,167,955625,42.485284499673,TESSy COVID-19
Austria,AT,2021-26,15-24yr,201,955625,38.5088293001962,TESSy COVID-19
Austria,AT,2021-27,15-24yr,449,955625,68.0183126226292,TESSy COVID-19
Austria,AT,2021-28,15-24yr,954,955625,146.814911706998,TESSy COVID-19
Austria,AT,2021-29,15-24yr,945,955625,198.718116415958,TESSy COVID-19
Austria,AT,2021-30,15-24yr,1239,955625,228.541530412034,TESSy COVID-19
Austria,AT,2021-31,15-24yr,1183,955625,253.446697187704,TESSy COVID-19
Austria,AT,2021-32,15-24yr,1681,955625,299.699149771092,TESSy COVID-19
Austria,AT,2021-33,15-24yr,2092,955625,394.820143884892,TESSy COVID-19
Austria,AT,2021-34,15-24yr,2112,955625,439.921517331589,TESSy COVID-19
