Reporting country,Reference period,Item,Item code,Value,Date of extraction (yyyymmdd)
AUSTRIA,Y2016,Total available own funds to meet the SCR,R0500,35743.00,20210812
AUSTRIA,Y2017,Total available own funds to meet the SCR,R0500,37771.18,20210812
AUSTRIA,Y2018,Total available own funds to meet the SCR,R0500,35492.50,20210812
AUSTRIA,Y2019,Total available own funds to meet the SCR,R0500,35911.97,20210812
AUSTRIA,Y2020,Total available own funds to meet the SCR,R0500,37013.67,20210812
AUSTRIA,Y2016,Total available own funds to meet the MCR,R0510,35535.21,20210812
AUSTRIA,Y2017,Total available own funds to meet the MCR,R0510,37545.26,20210812
AUSTRIA,Y2018,Total available own funds to meet the MCR,R0510,35243.27,20210812
AUSTRIA,Y2019,Total available own funds to meet the MCR,R0510,35301.73,20210812
AUSTRIA,Y2020,Total available own funds to meet the MCR,R0510,36362.99,20210812
AUSTRIA,Y2016,Total eligible own funds to meet the SCR,R0540,35347.68,20210812
AUSTRIA,Y2017,Total eligible own funds to meet the SCR,R0540,37291.07,20210812
AUSTRIA,Y2018,Total eligible own funds to meet the SCR,R0540,34952.75,20210812
AUSTRIA,Y2019,Total eligible own funds to meet the SCR,R0540,35665.64,20210812
AUSTRIA,Y2020,Total eligible own funds to meet the SCR,R0540,36883.76,20210812
AUSTRIA,Y2016,Total eligible own funds to meet the MCR,R0550,33481.97,20210812
AUSTRIA,Y2017,Total eligible own funds to meet the MCR,R0550,34835.71,20210812
AUSTRIA,Y2018,Total eligible own funds to meet the MCR,R0550,32570.77,20210812
AUSTRIA,Y2019,Total eligible own funds to meet the MCR,R0550,32600.01,20210812
AUSTRIA,Y2020,Total eligible own funds to meet the MCR,R0550,33248.14,20210812
AUSTRIA,Y2016,SCR,R0580,13190.65,20210812
AUSTRIA,Y2017,SCR,R0580,13161.25,20210812
AUSTRIA,Y2018,SCR,R0580,11700.22,20210812
AUSTRIA,Y2019,SCR,R0580,13379.16,20210812
AUSTRIA,Y2020,SCR,R0580,15006.50,20210812
AUSTRIA,Y2016,MCR,R0600,3919.41,20210812
AUSTRIA,Y2017,MCR,R0600,3887.60,20210812
AUSTRIA,Y2018,MCR,R0600,3637.31,20210812
AUSTRIA,Y2019,MCR,R0600,4243.95,20210812
AUSTRIA,Y2020,MCR,R0600,4491.96,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to SCR,R0620,2.68,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to SCR,R0620,2.83,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to SCR,R0620,2.99,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to SCR,R0620,2.67,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to SCR,R0620,2.46,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to SCR (P10),R0620_P10,1.66,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to SCR (P10),R0620_P10,1.93,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to SCR (P10),R0620_P10,1.92,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to SCR (P10),R0620_P10,1.68,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to SCR (P10),R0620_P10,1.73,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to SCR (P25),R0620_P25,1.90,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to SCR (P25),R0620_P25,2.18,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to SCR (P25),R0620_P25,2.02,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to SCR (P25),R0620_P25,1.93,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to SCR (P25),R0620_P25,1.84,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to SCR (P50),R0620_P50,2.37,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to SCR (P50),R0620_P50,2.51,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to SCR (P50),R0620_P50,2.47,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to SCR (P50),R0620_P50,2.30,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to SCR (P50),R0620_P50,2.16,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to SCR (P75),R0620_P75,2.98,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to SCR (P75),R0620_P75,3.11,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to SCR (P75),R0620_P75,2.97,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to SCR (P75),R0620_P75,2.78,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to SCR (P75),R0620_P75,2.57,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to SCR (P90),R0620_P90,3.90,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to SCR (P90),R0620_P90,3.77,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to SCR (P90),R0620_P90,3.52,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to SCR (P90),R0620_P90,3.20,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to SCR (P90),R0620_P90,2.98,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to MCR,R0640,8.54,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to MCR,R0640,8.96,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to MCR,R0640,8.95,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to MCR,R0640,7.68,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to MCR,R0640,7.40,20210812
AUSTRIA,Y2016,Ratio of Eligible own funds to MCR (P10),R0640_P10,3.69,20210812
AUSTRIA,Y2017,Ratio of Eligible own funds to MCR (P10),R0640_P10,4.28,20210812
AUSTRIA,Y2018,Ratio of Eligible own funds to MCR (P10),R0640_P10,4.65,20210812
AUSTRIA,Y2019,Ratio of Eligible own funds to MCR (P10),R0640_P10,3.93,20210812
AUSTRIA,Y2020,Ratio of Eligible own funds to MCR (P10),R0640_P10,4.46,20210812
